"TestName","Expected","Actual","Pass","Notes"
"B04 â€” Fuzz: Missing Required Extension (snapshot without payload)","{""ok"":false,""error_code"":""VALIDATION_ERROR""}","ok=False error=VALIDATION_ERROR","PASS",""
"B05 â€” Fuzz: Unknown Gateway Action","{""ok"":false,""error_code"":""ACTION_NOT_ALLOWED""}","ok=False error=ACTION_NOT_ALLOWED","PASS",""
"B06 â€” Fuzz: Invalid UUID in Query","{""ok"":false,""error_code"":null}","ok=False error=VALIDATION_ERROR","PASS",""
"C01 â€” Promote: Invalid Transition Name","{""ok"":false,""error_code"":""LIFECYCLE_TRANSITION_NOT_ALLOWED""}","SKIPPED","SKIP","Unresolved: PROJECT_ID"
"C02 â€” Promote: Missing Transition Field","{""ok"":false,""error_code"":""VALIDATION_ERROR""}","SKIPPED","SKIP","Unresolved: PROJECT_ID"
"C03 â€” Promote: Missing Reason Field","{""ok"":false,""error_code"":""VALIDATION_ERROR""}","SKIPPED","SKIP","Unresolved: PROJECT_ID"
"C04 â€” Promote: Lifecycle Mismatch (already sapling, request seed_to_sapling)","{""ok"":false,""error_code"":""LIFECYCLE_STATE_MISMATCH""}","SKIPPED","SKIP","Unresolved: PROJECT_ID"
"C05 â€” Promote: Non-promotable Type (journal)","{""ok"":false,""error_code"":null}","SKIPPED","SKIP","Unresolved: JOURNAL_ID"
"D01 â€” T51 Create Project for Extension Tests","{""ok"":true,""error_code"":null}","ok=False error=VALIDATION_ERROR","FAIL","Expected ok=True, got ok=False"
"D02 â€” T51 Update Project Summary (full-replace)","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: D_PROJECT_ID"
"D03 â€” T51 Query Project After Summary Update (hydrate)","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: D_PROJECT_ID"
"D04 â€” T51 Project Unknown Extension Field REJECTED","{""ok"":false,""error_code"":""MUTABILITY_ERROR""}","SKIPPED","SKIP","Unresolved: D_PROJECT_ID"
"D05 â€” T51 Project lifecycle_stage via Update REJECTED (PROMOTE_ONLY)","{""ok"":false,""error_code"":""MUTABILITY_ERROR""}","SKIPPED","SKIP","Unresolved: D_PROJECT_ID"
"D06 â€” T51 Create Journal for Extension Tests","{""ok"":true,""error_code"":null}","ok=False error=VALIDATION_ERROR","FAIL","Expected ok=True, got ok=False"
"D07 - T51 Journal Extension Update BLOCKED (JOURNAL_INSERT_ONLY per T87)","{""ok"":false,""error_code"":""JOURNAL_INSERT_ONLY""}","SKIPPED","SKIP","Unresolved: D_JOURNAL_ID"
"D08 â€” T51 Snapshot Extension Update BLOCKED (immutability)","{""ok"":false,""error_code"":""IMMUTABILITY_ERROR""}","SKIPPED","SKIP","Unresolved: SNAPSHOT_ID"
"D09 â€” T51 Project Full-Replace Set (baseline for clear test)","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: D_PROJECT_ID"
"D10 â€” T51 Project Full-Replace Clear (send summary only, expect state_reason NULL)","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: D_PROJECT_ID"
"D11 â€” T51 Query Project After Full-Replace (verify reset)","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: D_PROJECT_ID"
"D12 â€” T51 Create Instruction Pack for Immutability Test","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D13 â€” T51 Instruction Pack Extension Update BLOCKED (immutability)","{""ok"":false,""error_code"":""IMMUTABILITY_ERROR""}","ok=False error=IMMUTABILITY_ERROR","PASS",""
"D20a - T87 Create project for design_spine tests","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D20 - T87 Update design_spine.problem on seed project","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D20c - T87 Restore summary via spine update (QPM setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D20d - T87 Promote seed to sapling (design_spine setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D21 - T87 Update design_spine.hypothesis on sapling project","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D21b - T87 Create branch child for QPM gate (design_spine)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D21c - T87 Promote sapling to tree (design_spine setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D22 - T87 Update design_spine.constraints on tree project","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D22b - T87 Promote tree to archive (design_spine setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D23 - T87 Update design_spine on archive project = ARCHIVE_IMMUTABLE","{""ok"":false,""error_code"":""ARCHIVE_IMMUTABLE""}","ok=False error=ARCHIVE_IMMUTABLE","PASS",""
"E01 â€” Limb INSERT (Phase 2 Walk Type)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E01 â€” T64 Create Branch for Spine-Field Tests","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E02 â€” Leaf INSERT (Phase 2 Walk Type, Spine-Only)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E02 â€” T64 Create Limb for Spine-Field Tests","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E03 â€” T64 Create Leaf for Spine-Field Tests","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E04 â€” T64 Create Leaf 2 for Skip/Backward Tests","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E05 â€” D01 Branch NULL to not_started","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E06 â€” Limb NULL to not_started (D02 setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E07 â€” D02 Limb not_started to in_progress","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E08 â€” Leaf NULL to not_started (D03 setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E09 â€” Leaf not_started to in_progress (D03 setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E10 â€” D03 Leaf in_progress to complete (no parent check)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E11 â€” D09 Limb in_progress to in_progress (NOOP)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E12 â€” D12 Leaf NULL to in_progress (skip rejection)","{""ok"":false,""error_code"":""INVALID_TRANSITION""}","ok=False error=INVALID_TRANSITION","PASS",""
"E13 â€” Leaf 2 NULL to not_started (D06 setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E14 â€” Leaf 2 not_started to in_progress (D06 setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E15 â€” D06 Leaf in_progress to not_started (backward rejection)","{""ok"":false,""error_code"":""INVALID_TRANSITION""}","ok=False error=INVALID_TRANSITION","PASS",""
"E16 â€” D07 Leaf complete to in_progress (terminal rejection)","{""ok"":false,""error_code"":""INVALID_TRANSITION""}","ok=False error=INVALID_TRANSITION","PASS",""
"E17 â€” Branch not_started to in_progress (D08 setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E18 â€” Branch in_progress to blocked (D08 setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"E19 â€” D08 Branch blocked to complete (skip rejection)","{""ok"":false,""error_code"":""INVALID_TRANSITION""}","ok=False error=INVALID_TRANSITION","PASS",""
"F01 â€” Project QUERY without rollup flag (backward compat)","{""ok"":true,""error_code"":null,""rollup_absent"":true}","SKIPPED","SKIP","Unresolved: KGB_PROJECT_ID"
"F02 â€” Project rollup with zero leaves","{""ok"":true,""error_code"":null,""rollup_present"":true,""total_active_children_count"":0,""completed_children_count"":0,""completion_ratio"":null}","SKIPPED","SKIP","Unresolved: KGB_PROJECT_ID"
"F03 â€” Project rollup with branches and leaves","{""ok"":true,""error_code"":null,""rollup_present"":true}","ok=True error=none","PASS",""
"F04 â€” Rollup flag on non-project type (ignored)","{""ok"":true,""error_code"":null,""rollup_absent"":true}","SKIPPED","SKIP","Unresolved: KGB_SNAPSHOT_ID"
"F05 â€” Rollup with hydrate=false combination","{""ok"":true,""error_code"":null,""rollup_present"":true,""extension_null"":true}","SKIPPED","SKIP","Unresolved: KGB_PROJECT_ID"
"F06 â€” T70 Create Project for Rollup Tests","{""ok"":true,""error_code"":null}","ok=False error=VALIDATION_ERROR","FAIL","Expected ok=True, got ok=False"
"F07 â€” T70 Create Branch (child of project)","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: T70_PROJECT_ID"
"F08 â€” T70 Create Leaf 1 (complete, child of branch)","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: T70_BRANCH_ID"
"F09 â€” T70 Create Leaf 2 (in_progress, child of branch)","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: T70_BRANCH_ID"
"F10 â€” T70 Create Leaf 3 (no execution_status, child of branch)","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: T70_BRANCH_ID"
"F11 â€” T70 Branch rollup (1/3 complete)","{""ok"":true,""error_code"":null,""rollup_present"":true,""total_active_children_count"":3,""completed_children_count"":1,""completion_ratio"":0.333}","SKIPPED","SKIP","Unresolved: T70_BRANCH_ID"
"F12 â€” T70 Project rollup (0/1 branch complete)","{""ok"":true,""error_code"":null,""rollup_present"":true,""total_active_children_count"":1,""completed_children_count"":0,""completion_ratio"":0}","SKIPPED","SKIP","Unresolved: T70_PROJECT_ID"
"F13 â€” T70 Update Leaf 2 to complete","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: T70_LEAF_2_ID"
"F14 â€” T70 Branch rollup (2/3 complete)","{""ok"":true,""error_code"":null,""rollup_present"":true,""total_active_children_count"":3,""completed_children_count"":2,""completion_ratio"":0.667}","SKIPPED","SKIP","Unresolved: T70_BRANCH_ID"
"F15a â€” T70 Leaf 3 NULL to not_started","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: T70_LEAF_3_ID"
"F15b â€” T70 Leaf 3 not_started to in_progress","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: T70_LEAF_3_ID"
"F15c â€” T70 Leaf 3 in_progress to complete","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: T70_LEAF_3_ID"
"F16 â€” T70 Branch rollup (3/3 complete)","{""ok"":true,""error_code"":null,""rollup_present"":true,""total_active_children_count"":3,""completed_children_count"":3,""completion_ratio"":1}","SKIPPED","SKIP","Unresolved: T70_BRANCH_ID"
"G01 â€” T71 Create Branch (non-leaf baseline)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G02 â€” T71 Create LEAF_A (dependency target)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G03 â€” T71 Create LEAF_B (depends on LEAF_A)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G04 â€” T71 MANUAL STEP: Insert dependency B depends on A","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: T71_DEPENDENCY_INSERTED"
"G05 â€” T71 LEAF_B null to not_started","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G06 â€” T71 LEAF_B not_started to in_progress","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G07 â€” T71 LEAF_B in_progress to complete (BLOCKED â€” LEAF_A not complete)","{""ok"":false,""error_code"":""DEPENDENCY_INCOMPLETE""}","ok=True error=none","FAIL","Expected ok=False, got ok=True; Expected error=DEPENDENCY_INCOMPLETE, got="
"G08 â€” T71 LEAF_A null to not_started","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G09 â€” T71 LEAF_A not_started to in_progress","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G10 â€” T71 LEAF_A in_progress to complete (no dependency on A)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G11 â€” T71 LEAF_B in_progress to complete (UNBLOCKED â€” LEAF_A now complete)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G12 â€” T71 Create LEAF_C (no dependencies)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G13 â€” T71 LEAF_C null to not_started","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G14 â€” T71 LEAF_C not_started to in_progress","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G15 â€” T71 LEAF_C in_progress to complete (no dependencies â€” bypass)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G16 â€” T71 Branch null to not_started (non-leaf setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G17 â€” T71 Branch not_started to in_progress (non-leaf setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G18 â€” T71 Branch in_progress to complete (non-leaf â€” no dependency check)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H01 - T87 Create Project for spine testing","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H02 - T87 Spine-only update (summary)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H03 - T87 Spine-only update (title)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H04 - T87 Spine-only update (priority)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H05 - T87 Mixed update (summary + tags)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H06 - T87 Mixed update (title + priority + tags)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H07 - T87 Extension + spine = MIXED_UPDATE_NOT_ALLOWED","{""ok"":false,""error_code"":""MIXED_UPDATE_NOT_ALLOWED""}","ok=False error=MIXED_UPDATE_NOT_ALLOWED","PASS",""
"H08 - T87 Extension + tags = MIXED_UPDATE_NOT_ALLOWED","{""ok"":false,""error_code"":""MIXED_UPDATE_NOT_ALLOWED""}","ok=False error=MIXED_UPDATE_NOT_ALLOWED","PASS",""
"H09 - T87 Create Journal for immutability test","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H10 - T87 Journal extension update = JOURNAL_INSERT_ONLY","{""ok"":false,""error_code"":""JOURNAL_INSERT_ONLY""}","ok=False error=JOURNAL_INSERT_ONLY","PASS",""
"H11 - T87 Create Snapshot for immutability test","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H12 - T87 Snapshot extension update = IMMUTABILITY_ERROR","{""ok"":false,""error_code"":""IMMUTABILITY_ERROR""}","ok=False error=IMMUTABILITY_ERROR","PASS",""
"H13 - T87 Query project to verify spine updates persisted","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H14 - T87 Tags-only update (regression)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H15 - T87 Extension-only update (regression)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H16 - T87 Empty update rejected (no spine/tags/extension)","{""ok"":false,""error_code"":""VALIDATION_ERROR""}","ok=False error=VALIDATION_ERROR","PASS",""
"H17a - T87 Create temp project for delete test","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H17b - T87 Soft-delete temp project","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H17c - T87 Update deleted artifact = NOT_FOUND","{""ok"":false,""error_code"":""NOT_FOUND""}","ok=False error=NOT_FOUND","PASS",""
"H18a - T87 Create project for lifecycle governance tests","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H18b - T87 Promote seed to sapling","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H18c - T87 Create branch child for QPM sapling-to-tree gate","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H19 - T87 Promote sapling to tree","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H20 - T87 Tree project title update = FIELD_FROZEN","{""ok"":false,""error_code"":""FIELD_FROZEN""}","ok=False error=FIELD_FROZEN","PASS",""
"H21 - T87 Tree project summary update allowed","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H22 - T87 Promote tree to archive","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"H23 - T87 Archive project summary update = ARCHIVE_IMMUTABLE","{""ok"":false,""error_code"":""ARCHIVE_IMMUTABLE""}","ok=False error=ARCHIVE_IMMUTABLE","PASS",""
"H24 - T87 Archive project tags update = ARCHIVE_IMMUTABLE","{""ok"":false,""error_code"":""ARCHIVE_IMMUTABLE""}","ok=False error=ARCHIVE_IMMUTABLE","PASS",""
